comparison_id,race_id,election_date,topic,relationship,analysis,review_method,timing_status,candidate_name,candidate_excerpt_id,candidate_quote,candidate_source_url,candidate_publication_date,candidate_locators,candidate_source_sha256,candidate_timing_status,opponent_name,opponent_excerpt_id,opponent_quote,opponent_source_url,opponent_publication_date,opponent_locators,opponent_source_sha256,opponent_timing_status,representation_kind,comparison_scope,election_timing,candidate_source_speaker_name,candidate_archive_url,candidate_capture_date,candidate_reviewed_locator,candidate_ballot_name,candidate_ballot_party,candidate_identity_resolution,candidate_identity_evidence_ids,candidate_identity_review_notes,opponent_source_speaker_name,opponent_archive_url,opponent_capture_date,opponent_reviewed_locator,opponent_ballot_name,opponent_ballot_party,opponent_identity_resolution,opponent_identity_evidence_ids,opponent_identity_review_notes,identity_resolution,identity_caveat,candidate_publication_month,candidate_source_type,opponent_publication_month,opponent_source_type
oh21-turner-barnes-aid,race-0650530eb5458097dae5,2021-08-03,foreign_policy,different_scope,"Turner names human-rights limits on aid uses; Barnes rejects conditions tied to specific results. Both support assistance and diplomacy, so the distinction is not blanket support versus opposition to Israel.",assistant_source_review_not_independent_human_gold,pre_primary_verified,Nina Turner,oh21-turner-aid-uses,our government should not support it,https://image.jewishinsider.com/wp-content/uploads/2021/02/18170852/2021-Ohio-11th-Candidate-Questionnaire-Nina-Turner.pdf,,paragraph 2,d2ee10cc5538d5edd76c39babf197219f29a50adb76831329a338d75fabb09e6,verified_publisher_release_bound,John E. Barnes Jr.,oh21-barnes-aid,aid should not be conditional on specific results,https://image.jewishinsider.com/wp-content/uploads/2021/02/18170853/2021-Ohio-11th-Candidate-Questionnaire-John-Barnes.pdf,,paragraph 2,61815f78c36124b18c0eeff00c9dfbbe27440adcb50291505e4a9fb2233106ca,verified_publisher_release_bound,policy_position,democratic_primary,past_scheduled_date,,,,,,,,,,,,,,,,,,,canonical_registry_and_cached_source_association,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,,candidate_questionnaire,,candidate_questionnaire
oh21-turner-smith-aid,race-0650530eb5458097dae5,2021-08-03,foreign_policy,different_scope,"Turner grounds aid restrictions in specified human-rights concerns; Smith permits conditions only while protecting U.S. strategic power and the alliance. Those are different stated qualifications, not evidence that all other commitments conflict.",assistant_source_review_not_independent_human_gold,pre_primary_verified,Nina Turner,oh21-turner-aid-uses,our government should not support it,https://image.jewishinsider.com/wp-content/uploads/2021/02/18170852/2021-Ohio-11th-Candidate-Questionnaire-Nina-Turner.pdf,,paragraph 2,d2ee10cc5538d5edd76c39babf197219f29a50adb76831329a338d75fabb09e6,verified_publisher_release_bound,Shirley Smith,oh21-smith-aid,condition its aid for specific results as long as our position of power is not compromised,https://image.jewishinsider.com/wp-content/uploads/2021/02/18170853/2021-Ohio-11th-Candidate-Questionnaire-Shirley-Smith.pdf,,paragraph 2,adf6f71ffc2e955d6bc6e70950f27a6600efa3883600cfe566216bb7c8f1efeb,verified_publisher_release_bound,policy_position,democratic_primary,past_scheduled_date,,,,,,,,,,,,,,,,,,,canonical_registry_and_cached_source_association,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,,candidate_questionnaire,,candidate_questionnaire
oh21-turner-brown-iran,race-0650530eb5458097dae5,2021-08-03,foreign_policy,different_strategy,"Turner favors reentering the existing deal before building on it; Brown emphasizes obtaining a longer, stronger agreement with additional provisions. Both favor diplomacy, but the stated sequence and conditions differ.",assistant_source_review_not_independent_human_gold,pre_primary_verified,Nina Turner,oh21-turner-iran,U.S. re-entering the JCPOA,https://image.jewishinsider.com/wp-content/uploads/2021/02/18170852/2021-Ohio-11th-Candidate-Questionnaire-Nina-Turner.pdf,,paragraph 1,d2ee10cc5538d5edd76c39babf197219f29a50adb76831329a338d75fabb09e6,verified_publisher_release_bound,Shontel Brown,oh21-brown-iran,longer and stronger,https://image.jewishinsider.com/wp-content/uploads/2021/02/18170852/2021-Ohio-11th-Candidate-Questionnaire-Shontel-Brown.pdf,,paragraph 1,6a0dc4b41101f7a7000feadc4bf91577b2e8dd581ae3bbdb2ce12b662d347d3b,verified_publisher_release_bound,policy_position,democratic_primary,past_scheduled_date,,,,,,,,,,,,,,,,,,,canonical_registry_and_cached_source_association,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,,candidate_questionnaire,,candidate_questionnaire
oh21-turner-johnson-iran,race-0650530eb5458097dae5,2021-08-03,foreign_policy,different_scope,"Both favor returning to nuclear diplomacy; Johnson explicitly emphasizes strict compliance and sanctions, while Turner emphasizes restoring credibility and building on reentry.",assistant_source_review_not_independent_human_gold,pre_primary_verified,Nina Turner,oh21-turner-iran,U.S. re-entering the JCPOA,https://image.jewishinsider.com/wp-content/uploads/2021/02/18170852/2021-Ohio-11th-Candidate-Questionnaire-Nina-Turner.pdf,,paragraph 1,d2ee10cc5538d5edd76c39babf197219f29a50adb76831329a338d75fabb09e6,verified_publisher_release_bound,Jeff Johnson,oh21-johnson-iran,I would re-enter the JCPOA,https://image.jewishinsider.com/wp-content/uploads/2021/02/18170851/2021-Ohio-11th-Candidate-Questionnaire-Jeffrey-D.-Johnson.pdf,,paragraph 1,be32d8386331942d6c498a357a8723dbb13b6c6e15642ff0cea82093b35d343b,verified_publisher_release_bound,policy_position,democratic_primary,past_scheduled_date,,,,,,,,,,,,,,,,,,,canonical_registry_and_cached_source_association,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,,candidate_questionnaire,,candidate_questionnaire
oh21-turner-smith-iran,race-0650530eb5458097dae5,2021-08-03,foreign_policy,different_scope,"Both support reentry, with Smith explicitly requiring adherence to limits and inspections. The selected Turner answer does not establish opposition to those safeguards.",assistant_source_review_not_independent_human_gold,pre_primary_verified,Nina Turner,oh21-turner-iran,U.S. re-entering the JCPOA,https://image.jewishinsider.com/wp-content/uploads/2021/02/18170852/2021-Ohio-11th-Candidate-Questionnaire-Nina-Turner.pdf,,paragraph 1,d2ee10cc5538d5edd76c39babf197219f29a50adb76831329a338d75fabb09e6,verified_publisher_release_bound,Shirley Smith,oh21-smith-iran,I would re-enter into the JCPOA,https://image.jewishinsider.com/wp-content/uploads/2021/02/18170853/2021-Ohio-11th-Candidate-Questionnaire-Shirley-Smith.pdf,,paragraph 1,adf6f71ffc2e955d6bc6e70950f27a6600efa3883600cfe566216bb7c8f1efeb,verified_publisher_release_bound,policy_position,democratic_primary,past_scheduled_date,,,,,,,,,,,,,,,,,,,canonical_registry_and_cached_source_association,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,,candidate_questionnaire,,candidate_questionnaire
hi18-ing-fukumoto-health,race-a5c9cc4ff2b525bcb410,2018-08-11,healthcare,shared_position,Both explicitly support a universal single-payer approach. Fukumoto frames it as fiscally practical; Ing places it in a progressive agenda. Their shared proposal is not erased by different rhetoric.,assistant_source_review_not_independent_human_gold,pre_primary_verified,Kaniela Saito Ing,hi18-ing-health,Medicare-for-all,https://www.civilbeat.org/2018/07/candidate-qa-u-s-house-district-1-kaniela-ing/,2018-07-03,paragraph 108,71a86ef518a92e309c54ccc051e91d672f03aceeec367194b260f4dffaed5725,verified_publication_date,Beth Keiko Fukumoto,hi18-fukumoto-health,"single-payer, universal health care system",https://www.civilbeat.org/2018/07/candidate-qa-u-s-house-district-1-beth-fukutomo/,2018-07-27,paragraph 127,d4ee0d3ad06abe3b23155cc1487955729f74836b8bfb49cdf7f54ed974773356,verified_publication_date,policy_position,democratic_primary,past_scheduled_date,,,,,,,,,,,,,,,,,,,canonical_registry_and_cached_source_association,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,,candidate_questionnaire,,candidate_questionnaire
hi18-ing-chin-health,race-a5c9cc4ff2b525bcb410,2018-08-11,healthcare,different_emphasis,Ing names Medicare for All; Chin emphasizes expanding Medicaid/CHIP and protecting existing benefits. The selected Chin answer does not establish opposition to single-payer.,assistant_source_review_not_independent_human_gold,pre_primary_verified,Kaniela Saito Ing,hi18-ing-health,Medicare-for-all,https://www.civilbeat.org/2018/07/candidate-qa-u-s-house-district-1-kaniela-ing/,2018-07-03,paragraph 108,71a86ef518a92e309c54ccc051e91d672f03aceeec367194b260f4dffaed5725,verified_publication_date,Doug S. Chin,hi18-chin-health,expanding and increasing funding for Medicaid,https://www.civilbeat.org/2018/07/candidate-qa-u-s-house-district-1-doug-chin/,2018-07-12,paragraph 124,b378fa97ab894dae6dd2375f725d326b9dafcd6ad3ef9ebb8f6cb79cec3b8b18,verified_publication_date,policy_position,democratic_primary,past_scheduled_date,,,,,,,,,,,,,,,,,,,canonical_registry_and_cached_source_association,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,,candidate_questionnaire,,candidate_questionnaire
hi18-ing-kim-health,race-a5c9cc4ff2b525bcb410,2018-08-11,healthcare,different_strategy,Ing proposes a universal insurance program; Kim emphasizes preventive care and results-oriented payment reforms. These address different dimensions and can coexist; no blanket opposition is inferred.,assistant_source_review_not_independent_human_gold,pre_primary_verified,Kaniela Saito Ing,hi18-ing-health,Medicare-for-all,https://www.civilbeat.org/2018/07/candidate-qa-u-s-house-district-1-kaniela-ing/,2018-07-03,paragraph 108,71a86ef518a92e309c54ccc051e91d672f03aceeec367194b260f4dffaed5725,verified_publication_date,Donna Mercado Kim,hi18-kim-health,focus more and more on results,https://www.civilbeat.org/2018/06/candidate-qa-u-s-house-district-1-donna-mercado-kim-3/,2018-06-18,paragraph 122,028b9c467aca0f0770c667b59dfe0a52c7e6a610107322290c5b1f0deaef85bb,verified_publication_date,policy_position,democratic_primary,past_scheduled_date,,,,,,,,,,,,,,,,,,,canonical_registry_and_cached_source_association,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,,candidate_questionnaire,,candidate_questionnaire
hi18-ing-martin-health,race-a5c9cc4ff2b525bcb410,2018-08-11,healthcare,different_strategy,"Ing champions Medicare for All, while Martin proposes combining and repairing existing systems. This records their stated reform approaches rather than assuming either rejects every other measure.",assistant_source_review_not_independent_human_gold,pre_primary_verified,Kaniela Saito Ing,hi18-ing-health,Medicare-for-all,https://www.civilbeat.org/2018/07/candidate-qa-u-s-house-district-1-kaniela-ing/,2018-07-03,paragraph 108,71a86ef518a92e309c54ccc051e91d672f03aceeec367194b260f4dffaed5725,verified_publication_date,Ernest Yorihiko Martin,hi18-martin-health,take what works from each system,https://www.civilbeat.org/2018/06/candidate-qa-u-s-house-district-1-ernie-martin/,2018-06-25,paragraph 120,8ee2cb6cce4867226390b6a71d16243231616e8271649ec2aee7f1fea9058e12,verified_publication_date,policy_position,democratic_primary,past_scheduled_date,,,,,,,,,,,,,,,,,,,canonical_registry_and_cached_source_association,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,,candidate_questionnaire,,candidate_questionnaire
hi18-ing-puletasi-health,race-a5c9cc4ff2b525bcb410,2018-08-11,healthcare,different_emphasis,Both favor broad Medicare coverage. Ing names Medicare for All; Puletasi's sentence says Medicare should cover all Americans without supplying the full financing design.,assistant_source_review_not_independent_human_gold,pre_primary_verified,Kaniela Saito Ing,hi18-ing-health,Medicare-for-all,https://www.civilbeat.org/2018/07/candidate-qa-u-s-house-district-1-kaniela-ing/,2018-07-03,paragraph 108,71a86ef518a92e309c54ccc051e91d672f03aceeec367194b260f4dffaed5725,verified_publication_date,Sam Puletasi,hi18-puletasi-health,Medicare should be expanded to include all Americans,https://www.civilbeat.org/2018/07/candidate-qa-u-s-house-district-1-sam-puletasi/,2018-07-03,paragraph 117,55eb503218fdb1243ed65d12cc5b20f4e70b6df84171603fd210594fd4c89af6,verified_publication_date,policy_position,democratic_primary,past_scheduled_date,,,,,,,,,,,,,,,,,,,canonical_registry_and_cached_source_association,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,,candidate_questionnaire,,candidate_questionnaire
hi18-ing-fukumoto-climate,race-a5c9cc4ff2b525bcb410,2018-08-11,climate_energy,different_emphasis,Ing specifies a2035renewable endpoint; Fukumoto names carbon-pricing instruments and renewable deployment. A target and implementation tools are not opposing positions.,assistant_source_review_not_independent_human_gold,pre_primary_verified,Kaniela Saito Ing,hi18-ing-climate,100 percent renewable energy by 2035,https://www.civilbeat.org/2018/07/candidate-qa-u-s-house-district-1-kaniela-ing/,2018-07-03,paragraph 125,71a86ef518a92e309c54ccc051e91d672f03aceeec367194b260f4dffaed5725,verified_publication_date,Beth Keiko Fukumoto,hi18-fukumoto-climate,"carbon taxes, national cap and trade markets",https://www.civilbeat.org/2018/07/candidate-qa-u-s-house-district-1-beth-fukutomo/,2018-07-27,paragraph 121,d4ee0d3ad06abe3b23155cc1487955729f74836b8bfb49cdf7f54ed974773356,verified_publication_date,policy_position,democratic_primary,past_scheduled_date,,,,,,,,,,,,,,,,,,,canonical_registry_and_cached_source_association,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,,candidate_questionnaire,,candidate_questionnaire
hi18-ing-fukumoto-strategy,race-a5c9cc4ff2b525bcb410,2018-08-11,campaign_approach,different_emphasis,"Ing emphasizes leading negotiations with a bold progressive vision; Fukumoto emphasizes shared needs and coalitions. Both describe willingness to work with others, so neither is labeled categorically unwilling to compromise.",assistant_source_review_not_independent_human_gold,pre_primary_verified,Kaniela Saito Ing,hi18-ing-strategy,leading with a bold progressive vision,https://www.civilbeat.org/2018/07/candidate-qa-u-s-house-district-1-kaniela-ing/,2018-07-03,paragraph 107,71a86ef518a92e309c54ccc051e91d672f03aceeec367194b260f4dffaed5725,verified_publication_date,Beth Keiko Fukumoto,hi18-fukumoto-strategy,focus on shared needs,https://www.civilbeat.org/2018/07/candidate-qa-u-s-house-district-1-beth-fukutomo/,2018-07-27,paragraph 106,d4ee0d3ad06abe3b23155cc1487955729f74836b8bfb49cdf7f54ed974773356,verified_publication_date,campaign_frame,democratic_primary,past_scheduled_date,,,,,,,,,,,,,,,,,,,canonical_registry_and_cached_source_association,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,,candidate_questionnaire,,candidate_questionnaire
hi18-ing-martin-strategy,race-a5c9cc4ff2b525bcb410,2018-08-11,campaign_approach,different_emphasis,Ing emphasizes agenda-setting around progressive policy; Martin emphasizes delegation cohesion and cross-party working relationships.,assistant_source_review_not_independent_human_gold,pre_primary_verified,Kaniela Saito Ing,hi18-ing-strategy,leading with a bold progressive vision,https://www.civilbeat.org/2018/07/candidate-qa-u-s-house-district-1-kaniela-ing/,2018-07-03,paragraph 107,71a86ef518a92e309c54ccc051e91d672f03aceeec367194b260f4dffaed5725,verified_publication_date,Ernest Yorihiko Martin,hi18-martin-strategy,develop a cohesive working relationship,https://www.civilbeat.org/2018/06/candidate-qa-u-s-house-district-1-ernie-martin/,2018-06-25,paragraph 106,8ee2cb6cce4867226390b6a71d16243231616e8271649ec2aee7f1fea9058e12,verified_publication_date,campaign_frame,democratic_primary,past_scheduled_date,,,,,,,,,,,,,,,,,,,canonical_registry_and_cached_source_association,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,,candidate_questionnaire,,candidate_questionnaire
hi18-ing-case-strategy,race-a5c9cc4ff2b525bcb410,2018-08-11,campaign_approach,different_emphasis,"Ing argues for starting with a progressive vision; Case stresses finding agreement after debate. These are distinct stated approaches, not proof of complete ideological opposition.",assistant_source_review_not_independent_human_gold,pre_primary_verified,Kaniela Saito Ing,hi18-ing-strategy,leading with a bold progressive vision,https://www.civilbeat.org/2018/07/candidate-qa-u-s-house-district-1-kaniela-ing/,2018-07-03,paragraph 107,71a86ef518a92e309c54ccc051e91d672f03aceeec367194b260f4dffaed5725,verified_publication_date,Ed Case,hi18-case-strategy,find agreement both in your caucus and within the other party,https://www.civilbeat.org/2018/07/in-crowded-race-for-congress-democrats-span-ideological-spectrum/,2018-07-25,paragraph 110,2c130e70439cd71b1084de6a6c809ae5680893121663f4e933fa7f79798cf6c7,verified_publication_date,campaign_frame,democratic_primary,past_scheduled_date,,,,,,,,,,,,,,,,,,,canonical_registry_and_cached_source_association,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,,candidate_questionnaire,,candidate_interview
tx18-crowe-kopser-coalition,race-7d7842f6876d4d0f9ce9,2018-03-06,campaign_approach,different_strategy,"Crowe emphasizes expanding the Democratic electorate through registration and mobilization; Kopser emphasizes winning Republican crossover voters. This compares their publicly stated electoral strategies, not which strategy would actually win.",assistant_source_review_not_independent_human_gold,pre_primary_verified,Derrick Crowe,tx18-crowe-coalition,make new Democrats before voter registration ends,https://web.archive.org/web/20180221024126id_/https://www.texasobserver.org/selling-smart-strategy-fight-brews-democratic-values-congressional-district-21/,,paragraph 150,94b6d79465ebf3c289c583e79eaa682a89c88c49b25688584e4a4f57d0c40109,verified_archive_capture,Joseph Kopser,tx18-kopser-coalition,We need them in this election,https://web.archive.org/web/20180221024126id_/https://www.texasobserver.org/selling-smart-strategy-fight-brews-democratic-values-congressional-district-21/,,paragraph 153,94b6d79465ebf3c289c583e79eaa682a89c88c49b25688584e4a4f57d0c40109,verified_archive_capture,campaign_frame,democratic_primary,past_scheduled_date,,https://web.archive.org/web/20180221024126id_/https://www.texasobserver.org/selling-smart-strategy-fight-brews-democratic-values-congressional-district-21/,2018-02-21,,,,,,,,https://web.archive.org/web/20180221024126id_/https://www.texasobserver.org/selling-smart-strategy-fight-brews-democratic-values-congressional-district-21/,2018-02-21,,,,,,,canonical_registry_and_cached_source_association,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,,candidate_interview,,candidate_interview
in18-canon-chatlos-experience,race-cd9ce8e2fbf078eb5eca,2018-05-08,campaign_approach,shared_position,Both present experience outside conventional politics as a reason to represent the district. The shared campaign frame does not establish identical policies or personal circumstances.,assistant_source_review_not_independent_human_gold,pre_primary_verified,Dan Canon,in18-canon-experience,traditional politicians haven't done,https://www.wlky.com/article/3-candidates-face-off-in-democratic-primary-for-indianas-9th-congressional-district/20115458,2018-05-01,paragraph 43,6f1459a840f8f8cb1662053b2a45c1724900cd15ed2d80dc326be2ca7f6d51a0,verified_publication_date,Rob Chatlos,in18-chatlos-experience,I'm working class,https://www.wlky.com/article/3-candidates-face-off-in-democratic-primary-for-indianas-9th-congressional-district/20115458,2018-05-01,paragraph 44,6f1459a840f8f8cb1662053b2a45c1724900cd15ed2d80dc326be2ca7f6d51a0,verified_publication_date,campaign_frame,democratic_primary,past_scheduled_date,,,,,,,,,,,,,,,,,,,canonical_registry_and_cached_source_association,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,,candidate_interview,,candidate_interview
in18-canon-chatlos-opioid-response,race-cd9ce8e2fbf078eb5eca,2018-05-08,healthcare,different_emphasis,"In the same reported opioid discussion, Canon specifies harm-reduction tools and Chatlos emphasizes securing resources. Funding and treatment approaches can coexist; neither is coded as opposing the other.",assistant_source_review_not_independent_human_gold,pre_primary_verified,Dan Canon,in18-canon-harm-reduction,access to harm reduction strategies,https://www.wlky.com/article/3-candidates-face-off-in-democratic-primary-for-indianas-9th-congressional-district/20115458,2018-05-01,paragraph 50,6f1459a840f8f8cb1662053b2a45c1724900cd15ed2d80dc326be2ca7f6d51a0,verified_publication_date,Rob Chatlos,in18-chatlos-funding,provide adequate funding for our area,https://www.wlky.com/article/3-candidates-face-off-in-democratic-primary-for-indianas-9th-congressional-district/20115458,2018-05-01,paragraph 49,6f1459a840f8f8cb1662053b2a45c1724900cd15ed2d80dc326be2ca7f6d51a0,verified_publication_date,policy_position,democratic_primary,past_scheduled_date,,,,,,,,,,,,,,,,,,,canonical_registry_and_cached_source_association,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,,candidate_interview,,candidate_interview
de20-scarane-coons-healthcare,race-53f4a0c7a1770190ca18,2020-09-15,healthcare,different_emphasis,"Scarane explicitly calls for single-payer; Coons's retained campaign page emphasizes ACA expansion and defending existing benefits. This is a difference in the stated proposals, not proof that Coons opposes every single-payer design.",assistant_source_review_not_independent_human_gold,pre_primary_verified,Jessica Scarane,de20-scarane-health,a single payer system,https://web.archive.org/web/20200907225700id_/https://www.jessfordelaware.com/issues/,,paragraph 27,83276ebb7f98a9b4ca4624c1561a7fd29138c8c3a9f807fcd9f8b0ac50234011,verified_archive_capture,Christopher A. Coons,de20-coons-health,protect and expand the Affordable Care Act,https://web.archive.org/web/20200807144522id_/https://www.chriscoons.com/issue/health-care/,,paragraph 18,c90933a4be28cea3d5ba7d40ee918700b91c055674a1d26b559f7cf55d41c8c2,verified_archive_capture,policy_position,democratic_primary,past_scheduled_date,,https://web.archive.org/web/20200907225700id_/https://www.jessfordelaware.com/issues/,2020-09-07,,,,,,,,https://web.archive.org/web/20200807144522id_/https://www.chriscoons.com/issue/health-care/,2020-08-07,,,,,,,canonical_registry_and_cached_source_association,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,,candidate_statement,,candidate_statement
ny15-lopez-torres-single-payer,race-773a75def2a0d13c9f49,2020-06-23,healthcare,different_scope,"Lopez gives an affirmative single-payer plan eliminating patient charges and rejects a means-tested public option as sufficient. Torres also supports a version of single payer but explicitly conditions support on labor buy-in and preserving Bronx healthcare jobs and funding. This is a difference in stated conditions, not evidence that Torres opposes single payer.",assistant_source_review_not_independent_human_gold,pre_primary_verified,Samelys Lopez,ny15-lopez-single-payer,"First, we need Medicare for All",https://indypendent.org/2020/06/samelys-lopez-we-need-public-medicine-for-public-health/,2020-06-18,paragraph 36,f04e586946472ba361305590ff197048ea574c7c85c23ff4596caa02b0a6da39,verified_publication_date,Ritchie Torres,ny15-torres-single-payer,I support a version of single payer,https://jimowles.org/news/candidate-answers-to-joldc-ritchie-torres-for-us-congress-ny-15,2020-01-14,paragraph 55,0e303e8d81b802700475f734d971bf6ad81d49dcdc452e2086ca714c0d2e8dad,verified_publisher_revision_date,policy_position,democratic_primary,past_scheduled_date,,,,,,,,,,,,,,,,,,,canonical_registry_and_cached_source_association,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,,candidate_op_ed,,candidate_questionnaire
ny15-lopez-torres-immigrant-health,race-773a75def2a0d13c9f49,2020-06-23,healthcare,shared_position,Both explicitly support healthcare access for undocumented residents. The agreement does not remove their distinct statements about single-payer conditions.,assistant_source_review_not_independent_human_gold,pre_primary_verified,Samelys Lopez,ny15-lopez-immigrant-health,including our undocumented neighbors,https://indypendent.org/2020/06/samelys-lopez-we-need-public-medicine-for-public-health/,2020-06-18,paragraph 40,f04e586946472ba361305590ff197048ea574c7c85c23ff4596caa02b0a6da39,verified_publication_date,Ritchie Torres,ny15-torres-immigrant-health,Granting healthcare to all undocumented immigrants,https://jimowles.org/news/candidate-answers-to-joldc-ritchie-torres-for-us-congress-ny-15,2020-01-14,paragraph 41,0e303e8d81b802700475f734d971bf6ad81d49dcdc452e2086ca714c0d2e8dad,verified_publisher_revision_date,policy_position,democratic_primary,past_scheduled_date,,,,,,,,,,,,,,,,,,,canonical_registry_and_cached_source_association,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,,candidate_op_ed,,candidate_questionnaire
ny15-lopez-torres-consumption,race-773a75def2a0d13c9f49,2020-06-23,public_health,shared_position,"Both support supervised consumption sites. Torres's short affirmative response is scoped to the actual consumption-site question, not every other yes in the questionnaire.",assistant_source_review_not_independent_human_gold,pre_primary_verified,Samelys Lopez,ny15-lopez-consumption,I am supportive of supervised consumption sites,https://filtermag.org/samelys-lopez/,2020-06-04,paragraph 40,1adf18ab137c5c7d47a82454471a34391efea16a389a1fc724ff37836efb2722,verified_publication_date,Ritchie Torres,ny15-torres-consumption,Yes.,https://jimowles.org/news/candidate-answers-to-joldc-ritchie-torres-for-us-congress-ny-15,2020-01-14,paragraph 44,0e303e8d81b802700475f734d971bf6ad81d49dcdc452e2086ca714c0d2e8dad,verified_publisher_revision_date,policy_position,democratic_primary,past_scheduled_date,,,,,,,,,,,,,,,,,,,canonical_registry_and_cached_source_association,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,,candidate_interview,,candidate_questionnaire
ny15-lopez-torres-sex-work,race-773a75def2a0d13c9f49,2020-06-23,criminal_justice,shared_position,Both support sex-work decriminalization. Lopez discusses a package of measures for transgender women of color; Torres answers a question that also names a proposed H.R.1865 amendment.,assistant_source_review_not_independent_human_gold,pre_primary_verified,Samelys Lopez,ny15-lopez-sex-work,decriminalization of sex work,https://filtermag.org/samelys-lopez/,2020-06-04,paragraph 44,1adf18ab137c5c7d47a82454471a34391efea16a389a1fc724ff37836efb2722,verified_publication_date,Ritchie Torres,ny15-torres-sex-work,Yes.,https://jimowles.org/news/candidate-answers-to-joldc-ritchie-torres-for-us-congress-ny-15,2020-01-14,paragraph 39,0e303e8d81b802700475f734d971bf6ad81d49dcdc452e2086ca714c0d2e8dad,verified_publisher_revision_date,policy_position,democratic_primary,past_scheduled_date,,,,,,,,,,,,,,,,,,,canonical_registry_and_cached_source_association,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,,candidate_interview,,candidate_questionnaire
mo22-bush-roberts-activism,race-4add975df09b0b0aaa6d,2022-08-02,campaign_approach,different_strategy,"Bush explicitly presents direct action as part of congressional work, citing the eviction moratorium. Roberts says the legislator's work should happen inside the Capitol rather than on the streets, while acknowledging shared issue concerns. This is a source-backed difference in political strategy, not proof that their entire platforms are opposites.",assistant_source_review_not_independent_human_gold,pre_primary_verified,Cori Bush,mo22-bush-strategy,the activist also on the ground even at the U.S. Capitol,https://www.stlpr.org/government-politics-issues/2022-07-28/bush-defends-her-record-in-congress-while-roberts-calls-for-change,2022-07-28,paragraph 282,377e2d240887b493a9a628f9954b70bb446aaff6a05994f177a1c9a0e411fea4,verified_publication_date,Steve Roberts,mo22-roberts-strategy,The work of a legislator is done in the Capitol building,https://www.stlpr.org/government-politics-issues/2022-07-28/bush-defends-her-record-in-congress-while-roberts-calls-for-change,2022-07-28,paragraph 297,377e2d240887b493a9a628f9954b70bb446aaff6a05994f177a1c9a0e411fea4,verified_publication_date,campaign_frame,democratic_primary,past_scheduled_date,,,,,,,,,,,,,,,,,,,canonical_registry_and_cached_source_association,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,,candidate_interview,,candidate_interview
ny16-bowman-engel-health,race-4ccedc03fd0aec1094b0,2020-06-23,healthcare,shared_position,Both explicitly support Medicare for All in their own pre-primary answers. Engel also describes ACA and Medicare expansion; that does not erase his stated Medicare-for-All support or prove identical implementation plans.,assistant_source_review_not_independent_human_gold,pre_primary_verified,Jamaal Bowman,ny16-bowman-health,Medicare for All,https://patch.com/new-york/bronxville/jamaal-bowman-candidate-ny-congressional-district-16,2020-06-18,paragraph 70,232bf08cddd9f673e840fe3547052fff970892668b0d237dc8077f27c811c8d9,verified_publication_date,Eliot L. Engel,ny16-engel-health,"fighting for women's reproductive rights, Medicare for All",https://patch.com/new-york/newrochelle/eliot-engel-candidate-ny-congressional-district-16,2020-06-09,paragraph 51,490a59b18dce1e021e31621d80143005a5b5f748a7c49ccea02d72f03b9828d9,verified_publication_date,policy_position,democratic_primary,past_scheduled_date,,,,,,,,,,,,,,,,,,,canonical_registry_and_cached_source_association,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,,candidate_questionnaire,,candidate_questionnaire
