research_group,election_year,candidate_names,entity_kind,grouping_scope,records_without_direct_review,records_with_direct_review,race_ids,meaning
2024 | uncommitted-nj,2024,Uncommitted NJ,endorsed_ballot_campaign,same_cycle_national_campaign_research_only,1,0,race-839b10104820793a268a,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2024 | uninstructed-campaign,2024,Uninstructed Campaign,endorsed_ballot_campaign,same_cycle_national_campaign_research_only,1,0,race-f289969f5b8add9b1d6d,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
national-rec86L5cxZpX2cLlO-dem-primary | Cliff Willmeng,2018,Cliff Willmeng,individual_candidate,one_registry_record,1,0,national-rec86L5cxZpX2cLlO-dem-primary,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
national-recAcpDZztXL02ym0-dem-primary | Abdul Osmanu,2021,Abdul Osmanu,individual_candidate,one_registry_record,1,0,national-recAcpDZztXL02ym0-dem-primary,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
national-recDXw3CpyWrmjZpF-dem-primary | Donavan McKinney for Congress,2026,Donavan McKinney for Congress,individual_candidate,one_registry_record,1,0,national-recDXw3CpyWrmjZpF-dem-primary,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
national-recDXw3CpyWrmjZpF-dem-primary | Shri Thanedar,2026,Shri Thanedar,individual_candidate,one_registry_record,1,0,national-recDXw3CpyWrmjZpF-dem-primary,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
national-reccwrJN64S6TImp4-dem-primary | Zak Ringelstein,2018,Zak Ringelstein,individual_candidate,one_registry_record,1,0,national-reccwrJN64S6TImp4-dem-primary,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
national-recdSNsXy6cvCBnso-dem-primary | Maddie Halpert,2021,Maddie Halpert,individual_candidate,one_registry_record,1,0,national-recdSNsXy6cvCBnso-dem-primary,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
national-recfesuwYaOGwn0M1-dem-primary | George Defendini,2021,George Defendini,individual_candidate,one_registry_record,1,0,national-recfesuwYaOGwn0M1-dem-primary,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
national-rechYkbRdzk70pbun-dem-primary | Tyler Lamon,2022,Tyler Lamon,individual_candidate,one_registry_record,1,0,national-rechYkbRdzk70pbun-dem-primary,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
national-reciWW5o3Sg5OjAgj-dem-primary | Jorge DeFendini,2025,Jorge DeFendini,individual_candidate,one_registry_record,1,0,national-reciWW5o3Sg5OjAgj-dem-primary,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
national-recxFBpmHW4uAhpHQ-dem-primary | Justin Farmer,2021,Justin Farmer,individual_candidate,one_registry_record,1,0,national-recxFBpmHW4uAhpHQ-dem-primary,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
national-recz9WOUNjTC3V34x-dem-primary | Robert Graham,2026,Robert Graham,individual_candidate,one_registry_record,1,0,national-recz9WOUNjTC3V34x-dem-primary,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
national-recz9WOUNjTC3V34x-dem-primary | Yasmin Griffin,2026,Yasmin Griffin,individual_candidate,one_registry_record,1,0,national-recz9WOUNjTC3V34x-dem-primary,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
nyc-mayor-dem-primary-2025 | Adrienne E. Adams,2025,Adrienne E. Adams,individual_candidate,one_registry_record,1,0,nyc-mayor-dem-primary-2025,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
nyc-mayor-dem-primary-2025 | Andrew M. Cuomo,2025,Andrew M. Cuomo,individual_candidate,one_registry_record,1,0,nyc-mayor-dem-primary-2025,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
nyc-mayor-dem-primary-2025 | Brad Lander,2025,Brad Lander,individual_candidate,one_registry_record,1,0,nyc-mayor-dem-primary-2025,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
nyc-mayor-dem-primary-2025 | Jessica Ramos,2025,Jessica Ramos,individual_candidate,one_registry_record,1,0,nyc-mayor-dem-primary-2025,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
nyc-mayor-dem-primary-2025 | Michael Blake,2025,Michael Blake,individual_candidate,one_registry_record,1,0,nyc-mayor-dem-primary-2025,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
nyc-mayor-dem-primary-2025 | Paperboy Love Prince,2025,Paperboy Love Prince,individual_candidate,one_registry_record,1,0,nyc-mayor-dem-primary-2025,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
nyc-mayor-dem-primary-2025 | Scott M. Stringer,2025,Scott M. Stringer,individual_candidate,one_registry_record,1,0,nyc-mayor-dem-primary-2025,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
nyc-mayor-dem-primary-2025 | Selma K. Bartholomew,2025,Selma K. Bartholomew,individual_candidate,one_registry_record,1,0,nyc-mayor-dem-primary-2025,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
nyc-mayor-dem-primary-2025 | Whitney R. Tilson,2025,Whitney R. Tilson,individual_candidate,one_registry_record,1,0,nyc-mayor-dem-primary-2025,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
nyc-mayor-dem-primary-2025 | Zellnor Myrie,2025,Zellnor Myrie,individual_candidate,one_registry_record,1,0,nyc-mayor-dem-primary-2025,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
nyc-mayor-dem-primary-2025 | Zohran Mamdani,2025,Zohran Mamdani,individual_candidate,one_registry_record,1,0,nyc-mayor-dem-primary-2025,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-0218abea5bd67b0db8de | Kyle Greenwood,2024,Kyle Greenwood,individual_candidate,one_registry_record,1,0,race-0218abea5bd67b0db8de,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-0218abea5bd67b0db8de | Valerie Thomason,2024,Valerie Thomason,individual_candidate,one_registry_record,1,0,race-0218abea5bd67b0db8de,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-0218abea5bd67b0db8de | Venise L. Karris,2024,Venise L. Karris,individual_candidate,one_registry_record,1,0,race-0218abea5bd67b0db8de,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-0237c4a27ae65d01b793 | Janeese Lewis George,2024,Janeese Lewis George,individual_candidate,one_registry_record,1,0,race-0237c4a27ae65d01b793,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-0237c4a27ae65d01b793 | Lisa Gore,2024,Lisa Gore,individual_candidate,one_registry_record,1,0,race-0237c4a27ae65d01b793,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-0237c4a27ae65d01b793 | Paul Johnson,2024,Paul Johnson,individual_candidate,one_registry_record,1,0,race-0237c4a27ae65d01b793,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-02c4c65549e1b95a5ad9 | Cynthia Mota,2021,Cynthia Mota,individual_candidate,one_registry_record,1,0,race-02c4c65549e1b95a5ad9,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-02c4c65549e1b95a5ad9 | Daryl L Hendricks,2021,Daryl L Hendricks,individual_candidate,one_registry_record,1,0,race-02c4c65549e1b95a5ad9,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-02c4c65549e1b95a5ad9 | Ed Zucal,2021,Ed Zucal,individual_candidate,one_registry_record,1,0,race-02c4c65549e1b95a5ad9,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-02c4c65549e1b95a5ad9 | Erik Rodriguez,2021,Erik Rodriguez,individual_candidate,one_registry_record,1,0,race-02c4c65549e1b95a5ad9,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-02c4c65549e1b95a5ad9 | Justan Fields,2021,Justan Fields,individual_candidate,one_registry_record,1,0,race-02c4c65549e1b95a5ad9,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-02c4c65549e1b95a5ad9 | Natalie Santos,2021,Natalie Santos,individual_candidate,one_registry_record,1,0,race-02c4c65549e1b95a5ad9,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-02c4c65549e1b95a5ad9 | Patrick Palmer,2021,Patrick Palmer,individual_candidate,one_registry_record,1,0,race-02c4c65549e1b95a5ad9,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-02c4c65549e1b95a5ad9 | Santo Napoli,2021,Santo Napoli,individual_candidate,one_registry_record,1,0,race-02c4c65549e1b95a5ad9,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-02c4c65549e1b95a5ad9 | Tino Babayan,2021,Tino Babayan,individual_candidate,one_registry_record,1,0,race-02c4c65549e1b95a5ad9,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-0371ba58189e203d8e3e | Adam L. Bojak,2020,Adam L. Bojak,individual_candidate,one_registry_record,1,0,race-0371ba58189e203d8e3e,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-0371ba58189e203d8e3e | Jonathan D. Rivera,2020,Jonathan D. Rivera,individual_candidate,one_registry_record,1,0,race-0371ba58189e203d8e3e,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-0371ba58189e203d8e3e | Robert Quintana,2020,Robert Quintana,individual_candidate,one_registry_record,1,0,race-0371ba58189e203d8e3e,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-04cb327196963b09ba9f | Gabriella A. Romero,2021,Gabriella A. Romero,individual_candidate,one_registry_record,1,0,race-04cb327196963b09ba9f,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-04cb327196963b09ba9f | Jeffrey D. Mayo,2021,Jeffrey D. Mayo,individual_candidate,one_registry_record,1,0,race-04cb327196963b09ba9f,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-04cb327196963b09ba9f | Richard-Olivier Marius,2021,Richard-Olivier Marius,individual_candidate,one_registry_record,1,0,race-04cb327196963b09ba9f,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-04cb327196963b09ba9f | Susan M. Pedo,2021,Susan M. Pedo,individual_candidate,one_registry_record,1,0,race-04cb327196963b09ba9f,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
"race-05835d3a049b0be0e256 | Albert ""Al"" Mills",2020,"Albert ""Al"" Mills",individual_candidate,one_registry_record,1,0,race-05835d3a049b0be0e256,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-05835d3a049b0be0e256 | Coby Owens,2020,Coby Owens,individual_candidate,one_registry_record,1,0,race-05835d3a049b0be0e256,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
"race-05835d3a049b0be0e256 | Karen ""Butter"" Flowers",2020,"Karen ""Butter"" Flowers",individual_candidate,one_registry_record,1,0,race-05835d3a049b0be0e256,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-05835d3a049b0be0e256 | Linda Gray,2020,Linda Gray,individual_candidate,one_registry_record,1,0,race-05835d3a049b0be0e256,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-05c887ffae75d010ea4d | DeArtriss Coleman-Richardson,2024,DeArtriss Coleman-Richardson,individual_candidate,one_registry_record,1,0,race-05c887ffae75d010ea4d,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-05c887ffae75d010ea4d | Dylan Wegela,2024,Dylan Wegela,individual_candidate,one_registry_record,1,0,race-05c887ffae75d010ea4d,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-0650530eb5458097dae5 | Isaac Powell,2021,Isaac Powell,individual_candidate,one_registry_record,1,0,race-0650530eb5458097dae5,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-0650530eb5458097dae5 | James Jerome Bell,2021,James Jerome Bell,individual_candidate,one_registry_record,1,0,race-0650530eb5458097dae5,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-0650530eb5458097dae5 | Lateek Shabazz,2021,Lateek Shabazz,individual_candidate,one_registry_record,1,0,race-0650530eb5458097dae5,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-0650530eb5458097dae5 | Martin Alexander,2021,Martin Alexander,individual_candidate,one_registry_record,1,0,race-0650530eb5458097dae5,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-0650530eb5458097dae5 | Pamela M. Pinkney,2021,Pamela M. Pinkney,individual_candidate,one_registry_record,1,0,race-0650530eb5458097dae5,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-0650530eb5458097dae5 | Seth J. Corey,2021,Seth J. Corey,individual_candidate,one_registry_record,1,0,race-0650530eb5458097dae5,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-0650530eb5458097dae5 | Tariq K. Shabazz,2021,Tariq K. Shabazz,individual_candidate,one_registry_record,1,0,race-0650530eb5458097dae5,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-0650530eb5458097dae5 | Will Knight,2021,Will Knight,individual_candidate,one_registry_record,1,0,race-0650530eb5458097dae5,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-0737ecc067d5cc0799e8 | Hamid Parvizian,2018,Hamid Parvizian,individual_candidate,one_registry_record,1,0,race-0737ecc067d5cc0799e8,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-0b648ab38046db8ff140 | David Donaldson,2021,David Donaldson,individual_candidate,one_registry_record,1,0,race-0b648ab38046db8ff140,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-0b648ab38046db8ff140 | Phil Erner,2021,Phil Erner,individual_candidate,one_registry_record,1,0,race-0b648ab38046db8ff140,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-0de2ddb13df7ec856a27 | Chris Petsas,2021,Chris Petsas,individual_candidate,one_registry_record,1,0,race-0de2ddb13df7ec856a27,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-0de2ddb13df7ec856a27 | Da’Ron Wilson,2021,Da’Ron Wilson,individual_candidate,one_registry_record,1,0,race-0de2ddb13df7ec856a27,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-0de2ddb13df7ec856a27 | Sarah Salem,2021,Sarah Salem,individual_candidate,one_registry_record,1,0,race-0de2ddb13df7ec856a27,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-0defc60b6d18a763a9a6 | Brian Russell Pinkston,2019,Brian Russell Pinkston,individual_candidate,one_registry_record,1,0,race-0defc60b6d18a763a9a6,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
"race-0defc60b6d18a763a9a6 | John Lloyd Snook, III",2019,"John Lloyd Snook, III",individual_candidate,one_registry_record,1,0,race-0defc60b6d18a763a9a6,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-0defc60b6d18a763a9a6 | Michael Keith Payne,2019,Michael Keith Payne,individual_candidate,one_registry_record,1,0,race-0defc60b6d18a763a9a6,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
"race-0defc60b6d18a763a9a6 | Robert Francis Fenwick, Jr.",2019,"Robert Francis Fenwick, Jr.",individual_candidate,one_registry_record,1,0,race-0defc60b6d18a763a9a6,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-0defc60b6d18a763a9a6 | Sena Amelia Magill,2019,Sena Amelia Magill,individual_candidate,one_registry_record,1,0,race-0defc60b6d18a763a9a6,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-0efcfaf846114fe67a11 | Dominique Baez,2023,Dominique Baez,individual_candidate,one_registry_record,1,0,race-0efcfaf846114fe67a11,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-0efcfaf846114fe67a11 | Katie Kiely,2023,Katie Kiely,individual_candidate,one_registry_record,1,0,race-0efcfaf846114fe67a11,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-0efcfaf846114fe67a11 | Larry P. Zackery,2023,Larry P. Zackery,individual_candidate,one_registry_record,1,0,race-0efcfaf846114fe67a11,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-0efcfaf846114fe67a11 | Laurie Sweet,2023,Laurie Sweet,individual_candidate,one_registry_record,1,0,race-0efcfaf846114fe67a11,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-0efcfaf846114fe67a11 | Melinda L. Saller,2023,Melinda L. Saller,individual_candidate,one_registry_record,1,0,race-0efcfaf846114fe67a11,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-0efcfaf846114fe67a11 | Reginald D. Lytle,2023,Reginald D. Lytle,individual_candidate,one_registry_record,1,0,race-0efcfaf846114fe67a11,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-0efcfaf846114fe67a11 | Steven L. Boddie,2023,Steven L. Boddie,individual_candidate,one_registry_record,1,0,race-0efcfaf846114fe67a11,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-0efcfaf846114fe67a11 | Tasha M. Hunt,2023,Tasha M. Hunt,individual_candidate,one_registry_record,1,0,race-0efcfaf846114fe67a11,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-0f831c1823a5528f7bf6 | Earl Jaques,2020,Earl Jaques,individual_candidate,one_registry_record,1,0,race-0f831c1823a5528f7bf6,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-0f831c1823a5528f7bf6 | Eric A. Morrison,2020,Eric A. Morrison,individual_candidate,one_registry_record,1,0,race-0f831c1823a5528f7bf6,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-118f532f469a0fced428 | Anthony Ceoffe,2021,Anthony Ceoffe,individual_candidate,one_registry_record,1,0,race-118f532f469a0fced428,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-118f532f469a0fced428 | Xander Orenstein,2021,Xander Orenstein,individual_candidate,one_registry_record,1,0,race-118f532f469a0fced428,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-11b2afab91d000318469 | Kevin S. Parker,2022,Kevin S. Parker,individual_candidate,one_registry_record,1,0,race-11b2afab91d000318469,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-1222367a071612c7736a | Cesar Zuniga,2021,Cesar Zuniga,individual_candidate,one_registry_record,1,0,race-1222367a071612c7736a,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-1222367a071612c7736a | Victor Swinton,2021,Victor Swinton,individual_candidate,one_registry_record,1,0,race-1222367a071612c7736a,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-1222367a071612c7736a | Yu Lin,2021,Yu Lin,individual_candidate,one_registry_record,1,0,race-1222367a071612c7736a,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
"race-126843eb8d9937b28ff1 | Angela ""Angie"" Villescaz",2018,"Angela ""Angie"" Villescaz",individual_candidate,one_registry_record,1,0,race-126843eb8d9937b28ff1,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-126843eb8d9937b28ff1 | Gina Ortiz Jones,2018,Gina Ortiz Jones,individual_candidate,one_registry_record,1,0,race-126843eb8d9937b28ff1,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-126843eb8d9937b28ff1 | Jay Hulings,2018,Jay Hulings,individual_candidate,one_registry_record,1,0,race-126843eb8d9937b28ff1,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-126843eb8d9937b28ff1 | Judy Canales,2018,Judy Canales,individual_candidate,one_registry_record,1,0,race-126843eb8d9937b28ff1,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-126843eb8d9937b28ff1 | Rick Treviño,2018,Rick Treviño,individual_candidate,one_registry_record,1,0,race-126843eb8d9937b28ff1,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-145ef0f5b3eee7d39938 | Omeria Scott,2018,Omeria Scott,individual_candidate,one_registry_record,1,0,race-145ef0f5b3eee7d39938,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-1619e17f83ec30198cc9 | Marjorie C. Decker,2026,Marjorie C. Decker,individual_candidate,one_registry_record,1,0,race-1619e17f83ec30198cc9,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-183cee175deff89674c1 | Pamela D. Stevenson,2022,Pamela D. Stevenson,individual_candidate,one_registry_record,1,0,race-183cee175deff89674c1,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-183cee175deff89674c1 | Robert LeVertis Bell,2022,Robert LeVertis Bell,individual_candidate,one_registry_record,1,0,race-183cee175deff89674c1,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-1a63cae0504360d8eb38 | Andrew Kalloch,2022,Andrew Kalloch,individual_candidate,one_registry_record,1,0,race-1a63cae0504360d8eb38,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-1a63cae0504360d8eb38 | G. Tommy Smith,2022,G. Tommy Smith,individual_candidate,one_registry_record,1,0,race-1a63cae0504360d8eb38,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-1a63cae0504360d8eb38 | Jake Matthews,2022,Jake Matthews,individual_candidate,one_registry_record,1,0,race-1a63cae0504360d8eb38,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-1a63cae0504360d8eb38 | John Selker,2022,John Selker,individual_candidate,one_registry_record,1,0,race-1a63cae0504360d8eb38,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-1a63cae0504360d8eb38 | Sami Al-Abdrabbuh,2022,Sami Al-Abdrabbuh,individual_candidate,one_registry_record,1,0,race-1a63cae0504360d8eb38,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-1a63cae0504360d8eb38 | Steve Laible,2022,Steve Laible,individual_candidate,one_registry_record,1,0,race-1a63cae0504360d8eb38,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-1ae0377fbe0218036806 | Dave Heilker,2020,Dave Heilker,individual_candidate,one_registry_record,1,0,race-1ae0377fbe0218036806,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-1ae0377fbe0218036806 | Gary Crum,2020,Gary Crum,individual_candidate,one_registry_record,1,0,race-1ae0377fbe0218036806,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-1ae0377fbe0218036806 | Haroon Ajaz,2020,Haroon Ajaz,individual_candidate,one_registry_record,1,0,race-1ae0377fbe0218036806,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-1ae0377fbe0218036806 | Matthew Reeds,2020,Matthew Reeds,individual_candidate,one_registry_record,1,0,race-1ae0377fbe0218036806,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-1ae0377fbe0218036806 | Phillip Lee Westry,2020,Phillip Lee Westry,individual_candidate,one_registry_record,1,0,race-1ae0377fbe0218036806,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-1ae0377fbe0218036806 | Robert Stokes Sr.,2020,Robert Stokes Sr.,individual_candidate,one_registry_record,1,0,race-1ae0377fbe0218036806,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-1b141d6fe80a6b092dc9 | Kevin A. Cahill,2022,Kevin A. Cahill,individual_candidate,one_registry_record,1,0,race-1b141d6fe80a6b092dc9,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-1b141d6fe80a6b092dc9 | Sarahana Shrestha,2022,Sarahana Shrestha,individual_candidate,one_registry_record,1,0,race-1b141d6fe80a6b092dc9,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-1b273b10a29d54af6b83 | Kristin Seale,2018,Kristin Seale,individual_candidate,one_registry_record,1,0,race-1b273b10a29d54af6b83,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-1b75c0e578468fd6ef46 | Damali Vidot,2020,Damali Vidot,individual_candidate,one_registry_record,1,0,race-1b75c0e578468fd6ef46,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-1b75c0e578468fd6ef46 | Daniel Joseph Ryan,2020,Daniel Joseph Ryan,individual_candidate,one_registry_record,1,0,race-1b75c0e578468fd6ef46,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-1d52e9db30dc8b63812b | George S. Frankel,2024,George S. Frankel,individual_candidate,one_registry_record,1,0,race-1d52e9db30dc8b63812b,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-1d52e9db30dc8b63812b | Jason Hoover,2024,Jason Hoover,individual_candidate,one_registry_record,1,0,race-1d52e9db30dc8b63812b,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-1d52e9db30dc8b63812b | Monique Johns,2024,Monique Johns,individual_candidate,one_registry_record,1,0,race-1d52e9db30dc8b63812b,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-1d52e9db30dc8b63812b | Robert A. Williams,2024,Robert A. Williams,individual_candidate,one_registry_record,1,0,race-1d52e9db30dc8b63812b,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-1d52e9db30dc8b63812b | Val Gould,2024,Val Gould,individual_candidate,one_registry_record,1,0,race-1d52e9db30dc8b63812b,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-1e3efde0247356c47dbb | Anthony Joel Quezada,2022,Anthony Joel Quezada,individual_candidate,one_registry_record,1,0,race-1e3efde0247356c47dbb,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-1e3efde0247356c47dbb | Edwin Reyes,2022,Edwin Reyes,individual_candidate,one_registry_record,1,0,race-1e3efde0247356c47dbb,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-1e3efde0247356c47dbb | Luis Arroyo Jr.,2022,Luis Arroyo Jr.,individual_candidate,one_registry_record,1,0,race-1e3efde0247356c47dbb,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-1e3efde0247356c47dbb | Natalie Toro,2022,Natalie Toro,individual_candidate,one_registry_record,1,0,race-1e3efde0247356c47dbb,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-1e3efde0247356c47dbb | Rory McHale,2022,Rory McHale,individual_candidate,one_registry_record,1,0,race-1e3efde0247356c47dbb,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-1e73e737c92d27505df4 | David Shapiro,2023,David Shapiro,individual_candidate,one_registry_record,1,0,race-1e73e737c92d27505df4,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-1e73e737c92d27505df4 | Nathan Sitaraman,2023,Nathan Sitaraman,individual_candidate,one_registry_record,1,0,race-1e73e737c92d27505df4,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-1fd5827f1c16c0d86383 | Abel Mulugheta,2022,Abel Mulugheta,individual_candidate,one_registry_record,1,0,race-1fd5827f1c16c0d86383,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-1fd5827f1c16c0d86383 | Arthur Dixon,2022,Arthur Dixon,individual_candidate,one_registry_record,1,0,race-1fd5827f1c16c0d86383,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-1fd5827f1c16c0d86383 | Barbara Mallory Caraway,2022,Barbara Mallory Caraway,individual_candidate,one_registry_record,1,0,race-1fd5827f1c16c0d86383,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
race-1fd5827f1c16c0d86383 | Jane Hope Hamilton,2022,Jane Hope Hamilton,individual_candidate,one_registry_record,1,0,race-1fd5827f1c16c0d86383,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
